r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.251575,0.299940,0.349617,1.114313,13.716872,24.959567,22.737920,10.478789,16.000000,23.000000,19.000000,31.000000,381.000000,0.481345,0.020494,0.535560,0.029231,1903.000000,7663.000000,3335.000000,4104.000000,224.000000,948.000000,916.000000,39.000000
0.250048,0.304062,0.345750,1.111943,17.395709,26.785522,24.296735,17.758138,22.000000,27.000000,23.000000,33.000000,408.000000,0.099385,0.028536,0.124198,0.043925,16260.000000,59510.000000,49505.000000,7391.000000,2614.000000,14180.000000,1616.000000,464.000000
0.250709,0.315310,0.362588,0.976763,21.399474,30.003324,13.382092,12.938506,17.000000,30.000000,24.000000,32.000000,368.000000,0.005029,0.008061,0.006891,0.013992,13522.000000,47741.000000,46744.000000,329.000000,668.000000,13345.000000,68.000000,109.000000
0.249534,0.299272,0.361789,1.186557,18.570699,14.934223,16.937440,15.261556,20.000000,17.000000,26.000000,21.000000,448.000000,0.007826,0.012305,0.009922,0.021325,20317.000000,71560.000000,69324.000000,710.000000,1526.000000,19908.000000,159.000000,250.000000
0.249050,0.321727,0.358352,1.174902,17.319017,19.338961,17.149493,10.971968,21.000000,22.000000,24.000000,26.000000,447.000000,0.006033,0.001236,0.008646,0.002127,41271.000000,143875.000000,142325.000000,1244.000000,306.000000,40971.000000,249.000000,51.000000
0.251261,0.299006,0.365625,1.106797,17.436269,29.791256,12.076426,11.331637,17.000000,31.000000,23.000000,36.000000,418.000000,0.000986,0.001678,0.001249,0.002968,37542.000000,132069.000000,131512.000000,165.000000,392.000000,37442.000000,37.000000,63.000000
0.248936,0.285202,0.367656,0.878845,30.629423,37.105054,19.880196,9.670314,29.000000,29.000000,30.000000,35.000000,335.000000,0.005198,0.000627,0.006222,0.001134,55790.000000,193992.000000,192565.000000,1207.000000,220.000000,55465.000000,290.000000,35.000000
0.245577,0.298399,0.345350,0.935369,22.307113,28.108207,14.423882,15.162728,18.000000,26.000000,24.000000,29.000000,355.000000,0.013482,0.034250,0.017108,0.054963,5489.000000,19231.000000,17845.000000,329.000000,1057.000000,5227.000000,74.000000,188.000000
0.248999,0.295622,0.347364,1.044770,22.460312,18.178442,26.342377,13.425236,24.000000,21.000000,27.000000,22.000000,394.000000,0.053498,0.002353,0.066510,0.003789,45048.000000,158879.000000,147710.000000,10567.000000,602.000000,42532.000000,2410.000000,106.000000
0.250453,0.280388,0.359839,0.987130,19.733386,35.716418,23.100025,11.684931,21.000000,31.000000,23.000000,38.000000,370.000000,0.067483,0.006956,0.077148,0.011831,9632.000000,34233.000000,31187.000000,2641.000000,405.000000,8915.000000,650.000000,67.000000
0.248089,0.277259,0.343049,1.003910,21.295903,17.007076,9.251099,15.775142,19.000000,18.000000,25.000000,20.000000,382.000000,0.000817,0.014071,0.000937,0.022428,15919.000000,55512.000000,54215.000000,52.000000,1245.000000,15682.000000,13.000000,224.000000
0.249359,0.291170,0.352718,1.016662,16.237814,36.509330,16.384511,11.309282,15.000000,36.000000,20.000000,40.000000,387.000000,0.002084,0.000953,0.002565,0.001597,56635.000000,197266.000000,196445.000000,506.000000,315.000000,56463.000000,118.000000,54.000000
0.249863,0.300939,0.368110,1.010924,16.460952,24.980865,21.871658,14.393302,19.000000,27.000000,20.000000,28.000000,378.000000,0.044573,0.012347,0.056252,0.021802,16198.000000,57793.000000,53282.000000,3251.000000,1260.000000,15276.000000,722.000000,200.000000
0.250339,0.305405,0.356711,1.189113,13.544922,19.061649,21.089830,14.908755,19.000000,24.000000,20.000000,26.000000,446.000000,0.029362,0.009553,0.038059,0.016004,21354.000000,75855.000000,71754.000000,2887.000000,1214.000000,20523.000000,627.000000,204.000000
0.250392,0.282197,0.338049,0.984704,24.891330,24.461266,8.159484,15.968570,14.000000,26.000000,28.000000,27.000000,373.000000,0.000179,0.003960,0.000210,0.006125,55806.000000,195595.000000,194356.000000,41.000000,1198.000000,55575.000000,10.000000,221.000000
0.247165,0.285423,0.340184,1.124453,18.729462,12.178877,15.264028,16.086198,19.000000,15.000000,25.000000,17.000000,423.000000,0.014692,0.044830,0.017277,0.069321,5309.000000,18811.000000,17182.000000,325.000000,1304.000000,4993.000000,78.000000,238.000000
0.249491,0.291663,0.351500,1.057190,24.948487,25.532154,14.893255,17.564128,21.000000,29.000000,30.000000,30.000000,401.000000,0.001214,0.007569,0.001491,0.012538,63418.000000,221963.000000,218849.000000,331.000000,2783.000000,62861.000000,77.000000,480.000000
0.249910,0.302360,0.374360,0.848114,28.528042,33.880486,16.072940,11.024494,26.000000,29.000000,27.000000,31.000000,322.000000,0.002373,0.001140,0.003079,0.002121,54370.000000,190006.000000,189018.000000,585.000000,403.000000,54179.000000,129.000000,62.000000
0.249542,0.310482,0.341716,1.026002,12.373714,28.262622,19.683807,12.474321,14.000000,28.000000,16.000000,32.000000,389.000000,0.012326,0.001940,0.016625,0.003060,36589.000000,128120.000000,125598.000000,2130.000000,392.000000,36067.000000,451.000000,71.000000
0.249646,0.313522,0.365870,0.972032,24.587289,19.899782,14.094184,15.069362,21.000000,21.000000,27.000000,22.000000,369.000000,0.001230,0.003675,0.001687,0.006549,67486.000000,235922.000000,233979.000000,398.000000,1545.000000,67155.000000,83.000000,248.000000
0.250289,0.278045,0.314243,1.139807,27.110422,27.524719,17.422330,11.028828,26.000000,20.000000,35.000000,35.000000,431.000000,0.020395,0.005139,0.023315,0.007040,6227.000000,21874.000000,21210.000000,510.000000,154.000000,6068.000000,127.000000,32.000000
0.251609,0.296566,0.328261,0.963968,18.413040,21.850749,22.441649,14.177616,17.000000,21.000000,21.000000,24.000000,363.000000,0.011266,0.001522,0.014056,0.002226,68969.000000,243532.000000,239567.000000,3423.000000,542.000000,68087.000000,777.000000,105.000000
0.250362,0.303664,0.332072,0.997235,20.773424,25.066228,20.169274,14.749349,21.000000,26.000000,24.000000,28.000000,377.000000,0.011027,0.003233,0.014324,0.004841,41442.000000,145633.000000,142842.000000,2086.000000,705.000000,40851.000000,457.000000,134.000000
0.251763,0.303150,0.355593,0.924030,14.016766,31.818714,19.497896,18.244678,15.000000,30.000000,16.000000,32.000000,345.000000,0.009781,0.017415,0.012463,0.028843,37727.000000,134801.000000,129233.000000,1680.000000,3888.000000,36701.000000,369.000000,657.000000
0.250939,0.308936,0.383956,0.855296,31.838674,26.625192,18.494883,12.943719,26.000000,23.000000,30.000000,25.000000,323.000000,0.004317,0.002052,0.005750,0.003977,70180.000000,246940.000000,244538.000000,1420.000000,982.000000,69733.000000,303.000000,144.000000
0.250233,0.291180,0.351258,0.814787,27.248556,33.972517,17.493469,13.381851,22.000000,27.000000,25.000000,30.000000,304.000000,0.035706,0.024096,0.042794,0.038998,4565.000000,16334.000000,14998.000000,699.000000,637.000000,4292.000000,163.000000,110.000000
0.253274,0.307942,0.364116,1.086574,25.282683,30.385290,21.616815,14.911034,30.000000,31.000000,31.000000,36.000000,400.000000,0.048977,0.014353,0.062740,0.024349,15885.000000,57826.000000,52790.000000,3628.000000,1408.000000,14879.000000,778.000000,228.000000
