r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.069755,0.090031,0.139898,1.157617,31.221021,58.504065,82.153396,52.217782,41.000000,67.000000,49.000000,76.000000,1442.000000,0.044510,0.040632,0.058218,0.144084,36621.000000,169485.000000,135198.000000,9867.000000,24420.000000,33503.000000,1630.000000,1488.000000
0.068431,0.095575,0.142703,0.993569,46.905948,74.516735,75.523864,47.707119,55.000000,80.000000,57.000000,81.000000,904.000000,0.350103,0.232290,0.294465,0.501436,3896.000000,31328.000000,6394.000000,9225.000000,15709.000000,1627.000000,1364.000000,905.000000
0.070006,0.089275,0.141698,0.917411,49.839971,75.784573,83.019570,43.391245,48.000000,52.000000,56.000000,76.000000,1178.000000,0.063745,0.018026,0.086170,0.069526,25963.000000,114518.000000,96688.000000,9868.000000,7962.000000,23840.000000,1655.000000,468.000000
0.069986,0.091243,0.140011,1.006088,72.532015,64.422044,71.922391,63.256751,51.000000,71.000000,84.000000,72.000000,797.000000,0.054545,0.540909,0.031106,0.818090,12980.000000,141163.000000,21288.000000,4391.000000,115484.000000,5251.000000,708.000000,7021.000000
0.071383,0.090958,0.134434,0.955502,51.800129,78.380156,74.931791,46.633408,52.000000,72.000000,60.000000,82.000000,1175.000000,0.067316,0.038973,0.088055,0.121624,13548.000000,63869.000000,50477.000000,5624.000000,7768.000000,12108.000000,912.000000,528.000000
0.070585,0.089429,0.140162,1.083801,56.173470,74.061096,52.040846,52.110047,57.000000,81.000000,73.000000,88.000000,1166.000000,0.010090,0.142802,0.010243,0.399863,10406.000000,61311.000000,36167.000000,628.000000,24516.000000,8815.000000,105.000000,1486.000000
0.069410,0.094424,0.136172,1.069659,62.329944,55.293118,63.020142,47.698985,56.000000,59.000000,78.000000,67.000000,1358.000000,0.022265,0.038383,0.032728,0.130034,17247.000000,77549.000000,64927.000000,2538.000000,10084.000000,16201.000000,384.000000,662.000000
0.069172,0.084792,0.140809,0.963752,41.124546,58.267674,79.411096,52.855166,48.000000,60.000000,51.000000,63.000000,1071.000000,0.058244,0.118361,0.056901,0.354516,14422.000000,80473.000000,47365.000000,4579.000000,28529.000000,11875.000000,840.000000,1707.000000
0.068962,0.091072,0.141476,0.953427,79.220588,72.644107,69.887204,51.051638,58.000000,70.000000,86.000000,76.000000,883.000000,0.115922,0.273344,0.092188,0.595692,5012.000000,38953.000000,12158.000000,3591.000000,23204.000000,3061.000000,581.000000,1370.000000
0.071363,0.088737,0.138246,0.959966,55.399763,84.436397,91.193533,60.501353,57.000000,85.000000,64.000000,88.000000,926.000000,0.175838,0.230757,0.144582,0.510718,18591.000000,133371.000000,45973.000000,19283.000000,68115.000000,11032.000000,3269.000000,4290.000000
0.070046,0.091491,0.138310,1.012331,52.290402,56.978100,81.767215,52.402384,57.000000,63.000000,64.000000,65.000000,1209.000000,0.076993,0.060978,0.096980,0.195916,23041.000000,114013.000000,80619.000000,11057.000000,22337.000000,19862.000000,1774.000000,1405.000000
0.069895,0.092621,0.138828,0.890122,48.745748,78.178390,66.588562,52.419266,38.000000,72.000000,53.000000,76.000000,1089.000000,0.018466,0.056018,0.024718,0.188930,25831.000000,123030.000000,96745.000000,3041.000000,23244.000000,23907.000000,477.000000,1447.000000
0.070163,0.096395,0.139221,1.018791,109.375697,70.360029,21.572183,52.930031,58.000000,75.000000,122.000000,79.000000,1275.000000,0.000218,0.043252,0.000327,0.152452,36669.000000,168433.000000,142700.000000,55.000000,25678.000000,35075.000000,8.000000,1586.000000
0.068953,0.091373,0.151021,0.965192,56.399962,88.696243,75.186936,18.358932,54.000000,80.000000,65.000000,92.000000,1303.000000,0.048205,0.000801,0.073239,0.004012,19977.000000,81760.000000,75444.000000,5988.000000,328.000000,18998.000000,963.000000,16.000000
0.069394,0.091307,0.139370,1.108143,54.021459,65.017690,77.079840,49.692197,53.000000,69.000000,72.000000,80.000000,1414.000000,0.034508,0.030842,0.048050,0.112302,33007.000000,147201.000000,123597.000000,7073.000000,16531.000000,30850.000000,1139.000000,1018.000000
