"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"2981",0.34,0.45,0.887051083898992,1.4010772193969,34.5087955774972,36.3900195229342,37.2900251295006,0.887051083898992,FALSE,1.4010772193969,FALSE,5.36491735040543e-05,6.73893820815302e-05
"2982",0.27,0.54,0.576499430715276,1.85979412540333,32.8111688472759,35.3853964614361,36.5819247598436,0.724531106351585,TRUE,1.85979412540333,FALSE,-2.76065825381672,-1.89883411144115
"2983",0.3,0.34,1.02425225808901,1.22870075028561,34.6228809425146,36.3900000032434,37.29001564649,1.02425225808901,FALSE,1.22870075028561,FALSE,8.91279111825399e-09,4.19589433368795e-05
"2984",0.37,0.58,0.63911380466098,1.58910292245028,32.9833180174008,35.5102443606244,36.6673496227457,0.720482611854282,TRUE,1.58910292245028,FALSE,-2.4175752662148,-1.66975161505567
"2985",0.38,0.56,0.708580867973575,1.52048118145757,32.998352951387,35.5174639844511,36.6795648574535,0.720042921242948,TRUE,1.52048118145757,FALSE,-2.3977356843883,-1.63699421439114
"2986",0.36,0.53,0.746591167392709,1.51937834155452,34.2942777196568,36.3899863104981,37.2899877846219,0.746591167392709,FALSE,1.51937834155452,FALSE,-3.76188564321284e-05,-3.27577851951092e-05
"2987",0.32,0.51,0.725533472486172,1.60750806914183,34.2041930933273,36.3899950822434,37.2899995975345,0.725533472486172,FALSE,1.60750806914183,FALSE,-1.35140330107147e-05,-1.07928524316241e-06
"2988",0.3,0.49,0.737775469975567,1.63476716527947,34.2110382447419,36.3899958066068,37.2899995738401,0.737775469975567,FALSE,1.63476716527947,FALSE,-1.15234768641879e-05,-1.14282628472459e-06
"2989",0.32,0.5,0.747980925061207,1.58550514992385,34.2568415526435,36.3899917497626,37.2899974586736,0.747980925061207,FALSE,1.58550514992385,FALSE,-2.26717159729405e-05,-6.81503458177601e-06
"2990",0.3,0.54,0.623126318603088,1.74272688578352,32.86074953989,35.4217249283597,36.6078857833987,0.723377926931442,TRUE,1.74272688578352,FALSE,-2.66082734718415,-1.82921484741577
"2991",0.3,0.46,0.801284818686626,1.56456838569999,34.3493971949177,36.3899845344597,37.2899851706134,0.801284818686626,FALSE,1.56456838569999,FALSE,-4.24994236865502e-05,-3.97677301857254e-05
"2992",0.34,0.39,1.00209628272215,1.24207628201837,34.6139270427308,36.3900000030382,37.2900162544021,1.00209628272215,FALSE,1.24207628201837,FALSE,8.3489259596038e-09,4.35891716988257e-05
"2993",0.18,0.38,0.778980744537651,1.91986881570363,34.1764632344065,36.389999514312,37.2899989179149,0.778980744537651,FALSE,1.91986881570363,FALSE,-1.33467445394647e-06,-2.90181042092629e-06
