"","alpha1","alpha2","alpha3","beta1","beta2","beta3","ccf_last1","ccf_last2","ccf_last3","r","r1","r2","r3","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","r2_tp1","lifetime_r2","r3_tp1","lifetime_r3","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"5132",0.56,0.11,0.03,0.55,0.18,0.1,0.01,0.83,0.26,0.168048119303179,-0.518376534288377,0.733606372577156,0.556639699038082,51.7286949930835,52.5622143445766,52.3568568119018,56.4132598777025,0.440069912358494,TRUE,0.449748611649648,TRUE,0.733606372577156,FALSE,0.556639699038082,FALSE,-3.80268238547466,-5.66332105963641,-6.55414961453952
"5133",0.55,0.1,0.04,0.48,0.18,0.08,0.01,0.78,0.24,0.26161423644619,-0.393687977326114,0.727522394643694,0.600672985329569,51.7369907881212,52.5769729129444,52.3698813899829,56.4854458613946,0.441146788273994,TRUE,0.449418843979394,TRUE,0.727522394643694,FALSE,0.600672985329569,FALSE,-3.77567182843264,-5.63985335138215,-6.43457700613787
"5134",0.61,0.13,0.03,0.45,0.18,0.11,0.01,0.78,0.24,0.270596961538045,-0.395116900195502,0.673923767821521,0.684097759027097,51.7982562669827,52.6334488244818,52.4276060273302,56.5086849483706,0.435706606658549,TRUE,0.451313805160596,TRUE,0.673923767821521,FALSE,0.684097759027097,FALSE,-3.67231181463796,-5.53584499580151,-6.39608257682531
"5135",0.65,0.13,0.05,0.51,0.2,0.1,0.01,0.77,0.25,0.330455607744074,-0.424510610248001,0.770059375640333,0.588922142609058,51.8194777544134,52.6575879137249,52.4509646964234,56.5537421394671,0.432649247861639,TRUE,0.452476202776304,TRUE,0.770059375640333,FALSE,0.588922142609058,FALSE,-3.628133393622,-5.49375730374169,-6.3214475079226
"5136",0.76,0.13,0.02,0.48,0.15,0.05,0.02,0.77,0.23,0.34733169948858,-0.341548361420892,0.657621667847836,0.699639204971628,51.8524167371933,52.6865050371209,52.4808190006271,56.5762685425504,0.419963538114934,TRUE,0.455337587666324,TRUE,0.657621667847836,FALSE,0.699639204971628,FALSE,-3.57521040058396,-5.43996576463592,-6.28413360518404
"5137",0.65,0.09,0.03,0.43,0.21,0.04,0.02,0.75,0.2,0.288623792304518,-0.271359150243569,0.733592064930009,0.652740872672216,51.7294416626487,52.5666022733047,52.3602425846194,56.4546978605253,0.435706606658549,TRUE,0.452476202776304,TRUE,0.733592064930009,FALSE,0.652740872672216,FALSE,-3.79465176920803,-5.65722056825333,-6.48550958998631
"5138",0.65,0.15,0.05,0.43,0.23,0.06,0.02,0.72,0.27,0.322080876241218,-0.338449132622898,0.581162590295425,0.664613142865838,51.8447351796053,52.6826175639628,52.4759848624985,56.5953291025737,0.430904918070198,TRUE,0.452476202776304,TRUE,0.581162590295425,FALSE,0.664613142865838,FALSE,-3.58232510255711,-5.44867592342614,-6.25256070469827
"5139",0.54,0.09,0.02,0.45,0.21,0.04,0.01,0.76,0.28,0.210214257214631,-0.369889071685798,0.573446794121079,0.769689358471223,51.6988643129284,52.5400267442118,52.3325823444354,56.4673651656987,0.442163806047691,TRUE,0.449083025189713,TRUE,0.573446794121079,FALSE,0.769689358471223,FALSE,-3.84328926754798,-5.70705883885516,-6.46452680851629
"5140",0.66,0.14,0.05,0.45,0.19,0.05,0.02,0.78,0.2,0.323770651708738,-0.339291692606097,0.677856881234894,0.667023657851132,51.843155475622,52.6794341468822,52.47326322752,56.5684467234625,0.430904918070198,TRUE,0.452755622105199,TRUE,0.677856881234894,FALSE,0.667023657851132,FALSE,-3.58815126851727,-5.4535797702343,-6.29709007211773
"5141",0.56,0.12,0.08,0.39,0.18,0.05,0.02,0.87,0.26,0.0797612848296952,-0.273270155494202,0.689068178337043,0.491849921592429,51.7381782806626,52.5792683871821,52.3718545076274,56.5033828098148,0.439506741445852,TRUE,0.449748611649648,TRUE,0.689068178337043,FALSE,0.491849921592429,FALSE,-3.771470740882,-5.63629818445514,-6.40486531420443
