"","alpha1","beta1","ccf_last1","gamma1_obs","gamma2_obs","gamma3_obs","gamma1","gamma2","gamma3","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r_tp3","r1_tp1","r1_tp2","r1_tp3","t_BD"
"5508",0.65,0.73,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.356728759317491,0.913738962167752,0.447316433241333,8.55081525548711,27.0509029025257,27.3982818419872,35.6017181580128,0.390152950890991,0.388666477081182,0.396512721430303,0.913738962167752,0.913738962167752,0.913738962167752,27.5202410694559
"5509",0.62,0.78,0.78,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.479266292544412,0.86940954463409,0.479811697437686,17.292018116753,16.9598534256963,28.7481284575506,34.2518715424494,0.479266292544412,0.479266292544412,0.479266292544412,0.86940954463409,0.86940954463409,0.86940954463409,28.8741902193852
"5510",0.73,0.75,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.570050054998146,0.857469332714144,0.514410294743865,23.5502528826828,10.1911469978258,29.2586001194914,33.7413998805086,0.570050054998146,0.570050054998146,0.570050054998146,0.857469332714144,0.857469332714144,0.857469332714144,29.468127527813
"5511",0.68,0.72,0.82,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.43044231571071,0.895455490672788,0.471360901969178,16.4890315985818,18.4747896462236,28.0361787551946,34.9638212448054,0.43044231571071,0.43044231571071,0.43044231571071,0.895455490672788,0.895455490672788,0.895455490672788,28.134581292156
"5512",0.63,0.68,0.74,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.604935121820209,0.855763914470602,0.508074726295637,6.21007377905184,27.5225794226464,29.2673467983017,33.7326532016983,0.604935121820209,0.604935121820209,0.604935121820209,0.855763914470602,0.855763914470602,0.855763914470602,29.3548968937502
"5513",0.62,0.73,0.83,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.280307191701009,0.906483491053565,0.452121354864466,14.1204755090881,21.0973030083705,27.7822214825414,35.2177785174586,0.391456248802829,0.388666477081182,0.391890689750288,0.906483491053565,0.906483491053565,0.906483491053565,27.6891851019807
"5514",0.63,0.72,0.79,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.784460636689601,0.811834529058769,0.539293179386116,18.1724126501956,13.8626324840712,30.9649548657331,32.0350451342669,0.784460636689601,0.784460636689601,0.784460636689601,0.811834529058769,0.811834529058769,0.811834529058769,30.9487383375375
"5515",0.65,0.78,0.83,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.256067796109182,0.845634322597191,0.443912174434281,0.628354232320696,32.6428895681637,29.7287561995156,33.2712438004844,0.390152950890991,0.385472552991257,0.391890689750288,0.845634322597191,0.845634322597191,0.845634322597191,29.7446855043861
"5516",0.64,0.68,0.74,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.525250370579793,0.976629329605847,0.517379689234681,13.197324286385,24.6029175229248,25.1997581906902,37.8002418093098,0.525250370579793,0.525250370579793,0.525250370579793,0.976629329605847,0.976629329605847,0.976629329605847,25.7257513454681
"5517",0.68,0.78,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.570248799378619,0.853601025026947,0.511991837147098,12.5394387528162,21.0092363562523,29.4513248909315,33.5486751090685,0.570248799378619,0.570248799378619,0.570248799378619,0.853601025026947,0.853601025026947,0.853601025026947,29.5190024421656
"5518",0.72,0.79,0.81,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.492301763179874,0.752329633920314,0.451417662245934,12.2152216584138,17.0275327688195,33.7572455727667,29.2427544272333,0.492301763179874,0.492301763179874,0.492301763179874,0.752329633920314,0.752329633920314,0.752329633920314,33.5820033616171
"5519",0.62,0.74,0.84,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.336384521347874,1.02896587483125,0.488473500851782,26.0342251689207,12.7357182553758,24.2300565757034,38.7699434242966,0.391456248802829,0.388077888060863,0.390963707765328,1.02896587483125,1.02896587483125,1.02896587483125,24.3813148238841
"5520",0.67,0.71,0.77,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.576948821740004,0.939004397583997,0.535741032621908,11.7222672619557,24.7193526546818,26.5583800833624,36.4416199166376,0.576948821740004,0.576948821740004,0.576948821740004,0.939004397583997,0.939004397583997,0.939004397583997,26.809347628335
"5521",0.67,0.74,0.87,17,19,22,57.6390505280839,66.5017024673838,67.0476959424202,0,0.363865021231686,0.943759243526934,0.477445378811331,24.9637458984066,11.2583342033321,26.7779198982613,36.2220801017387,0.389220454852593,0.388077888060863,0.387788793930798,0.943759243526934,0.943759243526934,0.943759243526934,26.6737730066555
