"","alpha1","beta1","gamma1_obs","gamma2_obs","gamma1","gamma2","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r1_tp1","r1_tp2","t_BD"
"2680",0.23,0.58,1,4,5.25656619421988,31.5287765607893,0,0.416146365258584,2.1173514743559,0.216961744598538,13.7531238104571,10.7301511888748,10.5167250006681,24.4832749993319,0.725997058006031,0.718518762927654,2.1173514743559,2.1173514743559,10.5167250006681
"2681",0.32,0.45,1,4,5.25656619421988,31.5287765607893,0,0.853881124843782,1.46843791030404,0.201847243545994,12.9973874377699,5.99932460462261,16.0032879576075,18.9967120423925,0.853881124843782,0.853881124843782,1.46843791030404,1.46843791030404,16.0032879576075
"2682",0.39,0.47,1,4,5.25656619421988,31.5287765607893,0,0.933428424090946,1.2969483198705,0.207388698658413,13.7574993202589,2.78684548224988,18.4556551974912,16.5443448025088,0.933428424090946,0.933428424090946,1.2969483198705,1.2969483198705,18.4556551974912
"2683",0.33,0.44,1,4,5.25656619421988,31.5287765607893,0,0.890362892941355,1.40927733861646,0.204352799984408,10.2598556579111,7.98486209015334,16.7552822519356,18.2447177480644,0.890362892941355,0.890362892941355,1.40927733861646,1.40927733861646,16.7552822519356
"2684",0.32,0.7,1,4,5.25656619421988,31.5287765607893,0,0.180396898654538,1.95936319061408,0.237770089748149,17.4240732036948,5.93058779221746,11.6453390040878,23.3546609959122,0.722581347187741,0.709495640465299,1.95936319061408,1.95936319061408,11.6453390040878
"2685",0.26,0.49,1,4,5.25656619421988,31.5287765607893,0,0.676031190914661,1.79376810265798,0.193430968106335,7.12263035450539,15.1444046872769,12.7329649582177,22.2670350417823,0.724904990716954,0.723725413891476,1.79376810265798,1.79376810265798,12.7329649582177
"2686",0.33,0.37,1,4,5.25656619421988,31.5287765607893,0,1.02123293255956,1.21675320386754,0.210012510364609,2.47502557897371,12.8986047914493,19.626369629577,15.373630370423,1.02123293255956,1.02123293255956,1.21675320386754,1.21675320386754,19.626369629577
"2687",0.33,0.46,1,4,5.25656619421988,31.5287765607893,0,0.849954399418174,1.45866818591739,0.20181932785457,3.09338019680215,15.7657410692042,16.1408787339936,18.8591212660064,0.849954399418174,0.849954399418174,1.45866818591739,1.45866818591739,16.1408787339936
"2688",0.32,0.31,1,4,5.25656619421988,31.5287765607893,0,1.10585147969354,1.05435425998718,0.210892788695005,5.03640114381911,7.12932776337369,22.8342710928072,12.1657289071928,1.10585147969354,1.10585147969354,1.05435425998718,1.05435425998718,22.8342710928072
"2689",0.42,0.57,1,4,5.25656619421988,31.5287765607893,0,0.757138486055758,1.42894353539359,0.197736089255481,9.11617633815622,9.20950096615435,16.6743226956894,18.3256773043106,0.757138486055758,0.757138486055758,1.42894353539359,1.42894353539359,16.6743226956894
"2690",0.34,0.52,1,4,5.25656619421988,31.5287765607893,0,0.735793112427225,1.561723029187,0.193232114781855,8.08085449223899,11.9159774714738,15.0031680362872,19.9968319637128,0.735793112427225,0.735793112427225,1.561723029187,1.561723029187,15.0031680362872
"2691",0.35,0.46,1,4,5.25656619421988,31.5287765607893,0,0.883627009968527,1.39328985255858,0.204330425679964,5.70361265936013,12.2906633400608,17.0057240005791,17.9942759994209,0.883627009968527,0.883627009968527,1.39328985255858,1.39328985255858,17.0057240005791
"2692",0.5,0.39,1,4,5.25656619421988,31.5287765607893,0,1.31057599005357,0.813562414449493,0.203407470645505,0.437919696157629,4.00953961752206,30.5525406863203,4.44745931367969,1.31057599005357,1.31057599005357,0.813562414449493,0.813562414449493,30.5525406863203
"2693",0.41,0.51,1,4,5.25656619421988,31.5287765607893,0,0.883278207231053,1.33213455369228,0.205339491141046,10.2225223322029,6.80847259266315,17.9690050751339,17.0309949248661,0.883278207231053,0.883278207231053,1.33213455369228,1.33213455369228,17.9690050751339
