r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.025005,0.035103,0.045077,1.068868,154.883677,171.478402,180.218840,185.249759,158.000000,188.000000,196.000000,207.000000,3767.000000,0.014185,0.107392,0.016436,0.151899,39407.000000,68631.000000,57078.000000,1128.000000,10425.000000,34616.000000,559.000000,4232.000000
0.025119,0.037608,0.043076,1.007757,151.032097,171.276466,196.912422,186.567540,154.000000,179.000000,179.000000,196.000000,3549.000000,0.046726,0.087828,0.057063,0.119651,35205.000000,61161.000000,50353.000000,3490.000000,7318.000000,30468.000000,1645.000000,3092.000000
0.023296,0.032436,0.050106,0.841271,168.867917,186.872089,231.001102,138.081936,151.000000,171.000000,168.000000,174.000000,3320.000000,0.038655,0.021772,0.045356,0.036375,46436.000000,75712.000000,69524.000000,3434.000000,2754.000000,43630.000000,1795.000000,1011.000000
0.024594,0.032554,0.044572,0.855186,165.730306,204.415803,244.127668,195.050201,162.000000,188.000000,168.000000,194.000000,3016.000000,0.054654,0.115298,0.060114,0.161276,51744.000000,90212.000000,70240.000000,5423.000000,14549.000000,42950.000000,2828.000000,5966.000000
0.024669,0.027247,0.045855,1.093597,134.293500,169.304381,227.346314,159.487446,160.000000,198.000000,187.000000,209.000000,4120.000000,0.009765,0.029892,0.010116,0.044932,50181.000000,83527.000000,78929.000000,845.000000,3753.000000,48191.000000,490.000000,1500.000000
0.026114,0.032727,0.039581,1.078444,102.042587,157.405872,212.358529,208.554395,124.000000,192.000000,143.000000,197.000000,3786.000000,0.019137,0.070566,0.021320,0.090167,54502.000000,94136.000000,83641.000000,2007.000000,8488.000000,49613.000000,1043.000000,3846.000000
0.025153,0.038693,0.025783,0.807053,161.256253,237.529443,188.675646,249.248949,143.000000,176.000000,151.000000,223.000000,3012.000000,0.025470,0.010628,0.033125,0.010677,58147.000000,96937.000000,92691.000000,3211.000000,1035.000000,56048.000000,1481.000000,618.000000
0.022728,0.040453,0.045949,0.874493,159.386504,204.653521,195.065314,192.175458,149.000000,185.000000,161.000000,198.000000,3050.000000,0.070143,0.179437,0.088023,0.251342,38108.000000,68198.000000,45054.000000,6003.000000,17141.000000,28597.000000,2673.000000,6838.000000
0.025144,0.036609,0.041175,0.955027,139.171908,172.566759,187.056913,139.785776,145.000000,170.000000,159.000000,188.000000,3589.000000,0.009343,0.003134,0.011709,0.004303,100824.000000,167310.000000,164631.000000,1959.000000,720.000000,99566.000000,942.000000,316.000000
0.024363,0.032435,0.043971,0.926183,175.391668,180.241500,207.999377,184.693391,154.000000,169.000000,191.000000,188.000000,3541.000000,0.006818,0.026960,0.007901,0.039349,124813.000000,206051.000000,196315.000000,1628.000000,8108.000000,120597.000000,851.000000,3365.000000
0.057257,0.033603,0.041900,0.908193,168.436139,154.509647,185.122433,190.900621,129.000000,156.000000,180.000000,162.000000,2111.000000,0.142533,0.843582,0.122803,0.857998,3529.000000,8021.000000,154.000000,985.000000,6882.000000,49.000000,503.000000,2977.000000
0.023902,0.037787,0.039842,1.005745,137.593374,164.809796,221.049607,162.912181,145.000000,184.000000,165.000000,191.000000,2578.000000,0.814047,0.126463,0.821539,0.132982,5211.000000,10994.000000,500.000000,9032.000000,1462.000000,310.000000,4242.000000,659.000000
0.024257,0.031690,0.047443,0.927288,135.598687,192.448087,261.244852,154.453011,149.000000,167.000000,155.000000,198.000000,2771.000000,0.493363,0.190584,0.480430,0.254318,7986.000000,15457.000000,4100.000000,7426.000000,3931.000000,2524.000000,3940.000000,1522.000000
0.026136,0.030893,0.043429,1.069570,140.597191,163.965126,209.904897,174.925895,157.000000,181.000000,185.000000,200.000000,3236.000000,0.101393,0.308359,0.098031,0.383089,6460.000000,12394.000000,6431.000000,1215.000000,4748.000000,3813.000000,655.000000,1992.000000
0.026157,0.029812,0.050158,0.891538,191.909455,197.664340,232.832090,136.036254,142.000000,170.000000,201.000000,194.000000,2304.000000,0.451134,0.400960,0.378809,0.505752,2292.000000,4955.000000,572.000000,1877.000000,2506.000000,339.000000,1034.000000,919.000000
0.026810,0.028989,0.045332,0.967247,162.971297,180.577563,232.645468,179.615456,148.000000,191.000000,191.000000,196.000000,2714.000000,0.099730,0.403735,0.087874,0.493276,8513.000000,17252.000000,7226.000000,1516.000000,8510.000000,4227.000000,849.000000,3437.000000
0.027827,0.039228,0.050047,1.045808,165.747828,160.740151,160.289380,157.476900,149.000000,177.000000,200.000000,189.000000,2841.000000,0.064702,0.318340,0.068028,0.415556,8315.000000,17331.000000,8950.000000,1179.000000,7202.000000,5130.000000,538.000000,2647.000000
0.023422,0.034332,0.047002,0.883805,154.171023,167.680175,220.311300,143.053444,134.000000,159.000000,162.000000,167.000000,3112.000000,0.195100,0.084236,0.220946,0.122908,9877.000000,17330.000000,11371.000000,3829.000000,2130.000000,7118.000000,1927.000000,832.000000
0.025848,0.035962,0.049945,0.991736,146.634514,194.752774,236.693319,135.381152,167.000000,193.000000,173.000000,213.000000,3063.000000,0.373873,0.064943,0.407186,0.093552,13304.000000,25077.000000,12520.000000,10211.000000,2346.000000,7466.000000,4974.000000,864.000000
0.023203,0.032341,0.055387,0.941359,191.099050,252.830219,169.847409,84.700881,153.000000,180.000000,209.000000,255.000000,3791.000000,0.019848,0.008903,0.023545,0.016745,12243.000000,19707.000000,18913.000000,464.000000,330.000000,11891.000000,243.000000,109.000000
0.026094,0.041816,0.047490,1.030260,138.180655,167.245165,147.840728,148.398526,147.000000,169.000000,167.000000,194.000000,3449.000000,0.039737,0.094417,0.051093,0.135989,12180.000000,21862.000000,17772.000000,1117.000000,2973.000000,10546.000000,484.000000,1150.000000
